endTime,username,platform,artistName,trackName,msPlayed,incognito_mode,conn_country,user_agent_decrypted,shuffle
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Sanjay Leela Bhansali,Meri Jaan,1546,FALSE,IN,unknown,FALSE
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Pritam,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",1399,FALSE,IN,unknown,FALSE
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Ajay-Atul,Sapna Jahan,2273,FALSE,IN,unknown,FALSE
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID_ARM,Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",153070,FALSE,IN,unknown,FALSE
11-07-2023 14:12,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Armaan Malik,Pehla Pyaar,1221,FALSE,IN,unknown,FALSE
11-07-2023 14:16,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Akhil,"Duniyaa (From ""Luka Chuppi"")",195773,FALSE,IN,unknown,FALSE
12-07-2023 18:33,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Alka Yagnik,"Bahon Ke Darmiyan - From ""Khamoshi - The Musical""",14611,FALSE,IN,unknown,FALSE
12-07-2023 18:33,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Jatin-Lalit,Ae Kash Ke Hum,298244,FALSE,IN,unknown,FALSE
12-07-2023 18:35,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Abhijeet,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",140380,FALSE,IN,unknown,FALSE
12-07-2023 18:38,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Kaifi Khalil,Kahani Suno 2.0,132418,FALSE,IN,unknown,FALSE
12-07-2023 18:39,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Sanam,Gulabi Aankhen,83350,FALSE,IN,unknown,FALSE
12-07-2023 18:41,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Sanam,Yeh Raaten Yeh Mausam,102322,FALSE,IN,unknown,FALSE
12-07-2023 18:42,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Sanam,O Mere Dil Ke Chain,38828,FALSE,IN,unknown,FALSE
12-07-2023 18:44,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Pritam,Main Rang Sharbaton Ka (Lofi Mix),143242,FALSE,IN,unknown,FALSE
12-07-2023 18:47,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,VIBIE,Saibo - Lofi Flip,142007,FALSE,IN,unknown,FALSE
12-07-2023 18:49,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,SPECRO,Ranjha - Lofi Flip,168540,FALSE,IN,unknown,FALSE
12-07-2023 18:53,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Amtee,Shayad X Samjhawan - Lofi Flip,184031,FALSE,IN,unknown,FALSE
12-07-2023 18:55,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Jatin-Lalit,Mere Haath Mein - LoFi Mix,161204,FALSE,IN,unknown,FALSE
12-07-2023 19:00,31ibo62lfee26rxgjoxvtsdt5eli,ANDROID,Silent Ocean,Khamoshiyan - Lofi Flip,284230,FALSE,IN,unknown,FALSE
